dataset,fraction,seed,label,count
nih,1.0,0,infected,11023
nih,1.0,0,uninfected,11023
nih,1.0,1,infected,11023
nih,1.0,1,uninfected,11023
nih,0.25,0,infected,2756
nih,0.25,0,uninfected,2756
nih,0.25,1,infected,2756
nih,0.25,1,uninfected,2756
nih,0.1,0,infected,1102
nih,0.1,0,uninfected,1102
nih,0.1,1,infected,1102
nih,0.1,1,uninfected,1102
nih,0.02,0,infected,220
nih,0.02,0,uninfected,220
nih,0.02,1,infected,220
nih,0.02,1,uninfected,220
bbbc041,1.0,0,infected,347
bbbc041,1.0,0,uninfected,7371
bbbc041,1.0,1,infected,347
bbbc041,1.0,1,uninfected,7371
bbbc041,0.25,0,infected,87
bbbc041,0.25,0,uninfected,1843
bbbc041,0.25,1,infected,87
bbbc041,0.25,1,uninfected,1843
bbbc041,0.1,0,infected,35
bbbc041,0.1,0,uninfected,737
bbbc041,0.1,1,infected,35
bbbc041,0.1,1,uninfected,737
bbbc041,0.02,0,infected,7
bbbc041,0.02,0,uninfected,147
bbbc041,0.02,1,infected,7
bbbc041,0.02,1,uninfected,147
